rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,pose,position,x,y,z,orientation,x,y,z,w
1612188794800797202,,11695,,1612188794,800700991,"""world""",,,-0.1769719421863556,-0.437073677778244,0.7598084211349487,,-0.01099969819188118,-0.0012904126197099686,0.6463350653648376,0.762973427772522
1612188794809096454,,11696,,1612188794,808998123,"""world""",,,-0.17697438597679138,-0.4370778799057007,0.759810745716095,,-0.011102470569312572,-0.0012837405083701015,0.6464467644691467,0.7628772258758545
1612188794817496786,,11697,,1612188794,817397159,"""world""",,,-0.17697805166244507,-0.4370797276496887,0.7598162293434143,,-0.011015372350811958,-0.001212306204251945,0.6464426517486572,0.7628822326660156
1612188794825812089,,11698,,1612188794,825695462,"""world""",,,-0.17697520554065704,-0.4370730519294739,0.7598130106925964,,-0.01098109595477581,-0.0013473681174218655,0.6464516520500183,0.7628747820854187
1612188794834054332,,11699,,1612188794,833952577,"""world""",,,-0.17696796357631683,-0.43707698583602905,0.7598166465759277,,-0.0109214773401618,-0.0011521318228915334,0.6464176774024963,0.762904703617096
1612188794842486062,,11700,,1612188794,842402779,"""world""",,,-0.17697681486606598,-0.43707790970802307,0.7598147988319397,,-0.01099454052746296,-0.0014960842672735453,0.6463101506233215,0.7629942297935486
1612188794850835437,,11701,,1612188794,850738521,"""world""",,,-0.17696984112262726,-0.4370778203010559,0.759809672832489,,-0.010986126028001308,-0.0011574606178328395,0.646272599697113,0.7630267143249512
1612188794859078417,,11702,,1612188794,858987868,"""world""",,,-0.17697225511074066,-0.43707284331321716,0.7598159313201904,,-0.010564234107732773,-0.0012049286160618067,0.6464479565620422,0.7628840208053589
1612188794867511370,,11703,,1612188794,867408841,"""world""",,,-0.17697769403457642,-0.4370764195919037,0.7598093748092651,,-0.010482275858521461,-0.0011115109082311392,0.6463322043418884,0.7629833221435547
1612188794875786618,,11704,,1612188794,875669481,"""world""",,,-0.1769716441631317,-0.4370688199996948,0.7598124742507935,,-0.010837499052286148,-0.0014534509973600507,0.6463700532913208,0.7629457116127014
1612188794884171700,,11705,,1612188794,883935322,"""world""",,,-0.17697513103485107,-0.437071293592453,0.75980544090271,,-0.011110659688711166,-0.0014401980442926288,0.6464347839355469,0.7628871202468872
1612188794892420126,,11706,,1612188794,892306204,"""world""",,,-0.17697572708129883,-0.437077134847641,0.7598100304603577,,-0.01059473305940628,-0.0010048843687400222,0.6464864611625671,0.7628512382507324
1612188794900760726,,11707,,1612188794,900647190,"""world""",,,-0.176969513297081,-0.4370725154876709,0.7598108649253845,,-0.010882265865802765,-0.0013658124953508377,0.6463264226913452,0.7629823088645935
1612188794909152661,,11708,,1612188794,909015444,"""world""",,,-0.17697957158088684,-0.43706902861595154,0.7598114013671875,,-0.010292666032910347,-0.0012087278300896287,0.646411120891571,0.7629188895225525
1612188794917465187,,11709,,1612188794,917353240,"""world""",,,-0.17697358131408691,-0.43707555532455444,0.759818971157074,,-0.011119283735752106,-0.0010700670536607504,0.6463716626167297,0.7629410028457642
1612188794925793805,,11710,,1612188794,925659574,"""world""",,,-0.17697329819202423,-0.437076210975647,0.7598190903663635,,-0.011314266361296177,-0.0012785083381459117,0.6463546752929688,0.7629521489143372
1612188794934048327,,11711,,1612188794,933951020,"""world""",,,-0.17697104811668396,-0.43707454204559326,0.7598184943199158,,-0.011036021634936333,-0.002115992596372962,0.6463775038719177,0.7629351019859314
1612188794942699691,,11712,,1612188794,942499869,"""world""",,,-0.17696566879749298,-0.43706637620925903,0.7598146796226501,,-0.010917598381638527,-0.0013254224322736263,0.6463912725448608,0.7629268169403076
1612188794950917387,,11713,,1612188794,950772350,"""world""",,,-0.17697449028491974,-0.43706971406936646,0.7598165273666382,,-0.011029940098524094,-0.001247272128239274,0.6463819146156311,0.7629333734512329
1612188794959173532,,11714,,1612188794,959065627,"""world""",,,-0.17697720229625702,-0.437070369720459,0.7598162889480591,,-0.010978177189826965,-0.0012202137149870396,0.6463348269462585,0.762973964214325
1612188794967479832,,11715,,1612188794,967356792,"""world""",,,-0.17697973549365997,-0.4370715022087097,0.7598227262496948,,-0.011003473773598671,-0.0012674075551331043,0.6463893055915833,0.7629274725914001
1612188794975808573,,11716,,1612188794,975685084,"""world""",,,-0.1769726425409317,-0.4370729923248291,0.7598185539245605,,-0.010908994823694229,-0.0012859419221058488,0.6463651061058044,0.7629492878913879
1612188794984159899,,11717,,1612188794,984066651,"""world""",,,-0.17697155475616455,-0.43707045912742615,0.7598097920417786,,-0.011011029593646526,-0.0013692668871954083,0.6463623046875,0.7629500031471252
1612188794992461203,,11718,,1612188794,992378219,"""world""",,,-0.1769767850637436,-0.43706974387168884,0.7598093748092651,,-0.010695748031139374,-0.0012043614406138659,0.6463184356689453,0.7629919648170471
1612188795000801371,,11719,,1612188795,701381,"""world""",,,-0.1769758015871048,-0.43707573413848877,0.7598130106925964,,-0.010922177694737911,-0.0012435674434527755,0.6462896466255188,0.7630130052566528
1612188795009096164,,11720,,1612188795,9015756,"""world""",,,-0.17697326838970184,-0.43707332015037537,0.7598121762275696,,-0.011092817410826683,-0.0012428001500666142,0.646309494972229,0.7629938721656799
1612188795017543538,,11721,,1612188795,17433344,"""world""",,,-0.17697791755199432,-0.43707525730133057,0.7598069310188293,,-0.010972226038575172,-0.001339903799816966,0.6462660431861877,0.7630321979522705
1612188795025826100,,11722,,1612188795,25724691,"""world""",,,-0.17696994543075562,-0.43706732988357544,0.759822428226471,,-0.01092744991183281,-0.0010695449309423566,0.64635169506073,0.7629606127738953
