rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,pose,position,x,y,z,orientation,x,y,z,w
1612966522400509555,,70411,,1612966522,400342702,"""world""",,,-0.1469884067773819,-0.3563571274280548,0.7598845958709717,,-0.7228279709815979,0.6904640793800354,-0.02784385345876217,-0.001978711923584342
1612966522408867548,,70412,,1612966522,408664779,"""world""",,,-0.14698408544063568,-0.3563605546951294,0.7599137425422668,,-0.7229177951812744,0.6903867721557617,-0.02734975516796112,-0.002839825814589858
1612966522417174205,,70413,,1612966522,416992679,"""world""",,,-0.1469932645559311,-0.3563629686832428,0.7599161267280579,,-0.7227470278739929,0.6905458569526672,-0.027831077575683594,-0.0029417993500828743
1612966522425415659,,70414,,1612966522,425280478,"""world""",,,-0.1469917893409729,-0.356353223323822,0.7599161267280579,,-0.7228568196296692,0.6904274821281433,-0.027950957417488098,-0.0025985264219343662
1612966522433835121,,70415,,1612966522,433694121,"""world""",,,-0.14699065685272217,-0.35635867714881897,0.7599188685417175,,-0.7228213548660278,0.6904911398887634,-0.02724384516477585,-0.0030325050465762615
1612966522442134612,,70416,,1612966522,441995000,"""world""",,,-0.14698906242847443,-0.3563627600669861,0.7598860263824463,,-0.722762405872345,0.6905390024185181,-0.027692200616002083,-0.001897218986414373
1612966522450394902,,70417,,1612966522,450236636,"""world""",,,-0.14698441326618195,-0.35635706782341003,0.7599108815193176,,-0.7228173017501831,0.6904929280281067,-0.02731495164334774,-0.0029304525814950466
1612966522458834368,,70418,,1612966522,458713365,"""world""",,,-0.14697469770908356,-0.35635435581207275,0.7598841786384583,,-0.7228043079376221,0.6905027627944946,-0.027499010786414146,-0.0019303163280710578
1612966522467247659,,70419,,1612966522,467066258,"""world""",,,-0.14699091017246246,-0.35635828971862793,0.7599162459373474,,-0.7226260900497437,0.6906710267066956,-0.027865611016750336,-0.0029270148370414972
1612966522475426039,,70420,,1612966522,475283766,"""world""",,,-0.14698560535907745,-0.3563571572303772,0.7598814964294434,,-0.7227588891983032,0.6905406713485718,-0.02773398905992508,-0.002004308393225074
